,id,value1,category,id,value2,timestamp
0,1,1.764052345967664,C,25001,98.59969067529263,2021-01-01 00:00:00
1,2,0.4001572083672233,C,25002,10.099892277543464,2021-01-01 00:01:00
2,3,0.9787379841057392,A,25003,4.311686014410809,2021-01-01 00:02:00
3,4,2.240893199201458,B,25004,87.74160089367304,2021-01-01 00:03:00
4,5,1.8675579901499677,C,25005,65.2384498581154,2021-01-01 00:04:00
5,6,-0.977277879876411,D,25006,52.46374469188404,2021-01-01 00:05:00
6,7,0.9500884175255894,B,25007,49.61614228342216,2021-01-01 00:06:00
7,8,-0.1513572082976979,A,25008,49.68828582147993,2021-01-01 00:07:00
8,9,-0.1032188517935578,A,25009,52.0387063122492,2021-01-01 00:08:00
9,10,0.4105985019383723,B,25010,59.981673394559074,2021-01-01 00:09:00
10,11,0.144043571160878,A,25011,99.7775211880492,2021-01-01 00:10:00
11,12,1.454273506962975,B,25012,11.329828196672851,2021-01-01 00:11:00
12,13,0.7610377251469934,B,25013,12.842517018714616,2021-01-01 00:12:00
13,14,0.1216750164928284,A,25014,95.98395990624776,2021-01-01 00:13:00
14,15,0.4438632327454256,D,25015,1.759027292406634,2021-01-01 00:14:00
15,16,0.3336743273742668,B,25016,49.684844791875385,2021-01-01 00:15:00
16,17,1.494079073157606,D,25017,2.264185244000572,2021-01-01 00:16:00
17,18,-0.2051582637658008,C,25018,1.4367128514564675,2021-01-01 00:17:00
18,19,0.3130677016509013,D,25019,50.22629852788684,2021-01-01 00:18:00
19,20,-0.8540957393017248,D,25020,28.77631631163856,2021-01-01 00:19:00
20,21,-2.5529898158340787,D,25021,52.67000304420979,2021-01-01 00:20:00
21,22,0.6536185954403606,C,25022,96.57123671508715,2021-01-01 00:21:00
22,23,0.8644361988595057,C,25023,34.01792167778339,2021-01-01 00:22:00
23,24,-0.7421650204064419,C,25024,77.91527611313225,2021-01-01 00:23:00
24,25,2.269754623987608,C,25025,14.69373034833107,2021-01-01 00:24:00
25,26,-1.4543656745987648,B,25026,89.10607369946634,2021-01-01 00:25:00
26,27,0.045758517301446,C,25027,76.83246365145976,2021-01-01 00:26:00
